1,1,300,1273.8159846322028,11.98968933271287
2,1,300,2128.491356465746,37.43293281508501
3,1,300,873.3828886129238,23.593011130815526
4,1,300,1279.306031160221,47.488071775753085
5,1,295,1048.4116023829301,50.72716266552153
5,2,3,395.89584920460595,140.57767816317173
5,3,2,27.34633891719736,13.67321945859868
6,1,166,742.0039407695984,42.507960265294024
6,2,110,671.1913257143121,60.491759185739824
6,3,22,308.24961321977133,47.40190682218861
6,4,1,0.0001,0.0001
6,5,1,0.0,0.0
7,1,108,5258.307709999276,143.57366606670234
7,2,115,1805.042151150537,99.02703070251431
7,3,64,1789.441389999752,127.86367130948825
7,6,1,15.064247079937973,15.064247079937973
7,7,1,0.0001,0.0001
7,8,11,459.7169641728449,43.43755284856857
8,1,110,684.5827140287435,32.96645417327533
8,2,68,896.5288593272719,89.53029801422514
8,3,67,8729.510739998796,359.4256878475118
8,6,5,315.4222663983894,113.45759262781101
8,8,45,1153.2613099998127,76.32318531681433
8,9,3,3.796050775991079,1.265350258663693
8,10,1,0.0,0.0
8,11,1,0.0001,0.0001
9,1,75,9194.329719998723,272.17560764974263
9,2,40,1067.5003655153077,157.28381494396945
9,3,95,4129.836939999429,112.96043597340878
9,6,33,349.83169086915444,66.74079936095318
9,8,55,2021.2309899997204,67.54816196811285
9,12,1,0.0001,0.0001
9,13,1,0.0,0.0
10,1,105,24103.190349996697,583.8276178774662
10,2,66,1095.76153698514,165.13825223108688
10,3,49,1176.9126791120734,86.31232888666702
10,6,26,293.69644963633453,27.21911192653541
10,8,53,2602.2613181711426,184.10651077009504
10,14,1,7.165466132632821,7.165466132632821
11,1,142,15278.222325462393,439.673870159327
11,2,51,1743.8944821584635,161.57113059713856
11,3,22,539.8639184146078,97.31146977966579
11,6,15,399.26383708443996,37.1689285197379
11,8,69,7875.771039998909,201.18863606824232
11,15,1,0.0,0.0
