generation,total,test,remove weak,breed,cross/copy,mutate
1,30.56952796765455,30.44379464657976,0.0,0.12573332107478924,0.12573332107478924,0.0
2,33.35073048806823,33.26308389334211,0.0006640994994668858,0.0869824952266498,0.03813462019541802,0.04120752361014368
3,34.776303236469445,34.69032565677644,0.000465254510892521,0.08551232518211549,0.0407465453356366,0.03693257016763596
4,38.16182090694697,38.05277217709606,0.0006499879196439906,0.10839874193126775,0.050564783911070776,0.04096976487109316
5,45.07924934947755,44.959712722444465,0.0018404921092951554,0.11769613492378994,0.05552607328198178,0.04376000906543709
6,47.31199035281085,47.190251036452764,0.0011160976777659926,0.120623218680322,0.06018460512180468,0.042734567597790374
7,53.38891428498121,53.28164147607126,0.0008531091445149741,0.10641969976543919,0.04054598985240432,0.044713609763505247
8,56.40910410711115,56.26992758193802,0.0009386338707599862,0.1382378913023672,0.0747297953178645,0.05095777002821933
9,55.88650911586677,55.751173078526676,0.0008077810396116547,0.13452825630048437,0.067742852805452,0.05125411320477724
10,55.07736652262878,54.92941345004607,0.0012824432703837374,0.14667062931232522,0.07199941843146007,0.05208840690966099
11,70.05186946361027,69.81488429573596,0.0035112176369125336,0.23347395023739637,0.10296193508253282,0.09697648711454576
12,68.45151539124356,68.305597807146,0.0011199462904869506,0.14479763780707344,0.06823034374554027,0.05186518737434653
13,72.98963867941279,72.77196670522414,0.0010951441198585599,0.2165768300687887,0.11129204342080357,0.07207767355703254
14,70.70371754603912,70.50693113762861,0.0011408998484512267,0.19564550856205187,0.10333439526436905,0.06408624313405653
15,76.89366368684273,76.550636838493,0.0018203937986527308,0.34120645455107024,0.19246527161590166,0.11304786605103345
16,77.64377497589271,77.43857036867564,0.0015834903068707717,0.2036211169101989,0.1066497612796411,0.06406614482364148
17,81.50038806844543,81.24808927070922,0.0014380982721604596,0.25086069946405587,0.12960630830355058,0.08602119730335289
18,83.55144633002703,83.25542258836299,0.001784901037126474,0.2942388406269174,0.1489879217709813,0.07984118058368495
19,93.97420274919227,93.68457155319311,0.0015116495367237803,0.28811954646243976,0.14033239184914237,0.07561754197536175
20,82.53924793831948,82.3315340356337,0.001992298498407763,0.2057216041873744,0.08909110735271497,0.06471484987287113
21,91.17829382447326,90.88107401951243,0.001503952311395551,0.2957158526494368,0.15737960791193473,0.07707702142920425
22,93.12803179809339,92.80199828522927,0.0018725638817613799,0.32416094898235315,0.18293995522662954,0.09910904616594962
